id,noms.codeLangue,noms.nom
180,fre,Immunologie clinique et allergie
180,eng,Clinical Immunology and Allergy
181,fre,Infectiologie
181,eng,Infectious Diseases
182,fre,Médecine de l’adolescence
182,eng,Adolescent Medicine
183,fre,Médecine de soins intensifs 
183,eng,Critical Care Medicine 
184,fre,Médecine du travail
184,eng,Occupational Medicine
185,fre,Médecine d’urgence pédiatrique
185,eng,Pediatric Emergency Medicine
186,fre,Médecine générale
186,eng,General Surgery
187,fre,Médecine interne
187,eng,Internal Medicine
188,fre,Médecine interne générale
188,eng,General Internal Medicine
189,fre,Médecine maternelle et foetale
189,eng,Maternal-Fetal Medicine
190,fre,Médecine moléculaire
190,eng,Molecular Medicine
191,fre,Médecine néonatale et périnatale
191,eng,Neonatal-Perinatal Medicine
192,fre,Médecine physique et réadaptation
192,eng,Physical Medicine & Rehabilitation
193,fre,Microbiologie médicale
193,eng,Medecine Microbiology
194,fre,Mycologie
194,eng,Mycology
195,fre,Neurochirurgie
195,eng,Neurosurgery
196,fre,Neurologie
196,eng,Neurology
197,fre,Neuropathologie
197,eng,Neuropathology
198,fre,Neuroradiologie
198,eng,Neuroradiology
199,fre,Nutrition
199,eng,Nutrition
200,fre,Oncologie gynécologique
200,eng,Gynecologic Oncology
201,fre,Oncologie médicale
201,eng,Medical Oncology
202,fre,Orthophonie
202,eng,Speech-Language Pathology
203,fre,Oto-rhino-laryngologie et chirurgie cervico-faciale
203,eng,Otolaryngology - Head and Neck Surgery
204,fre,Parasitologie
204,eng,Parasitology
205,fre,Pathologie hématologique
205,eng,Hematological Pathology
206,fre,Pathologie judiciaire
206,eng,Forensic Pathology
207,fre,Pédiatrie du développement
207,eng,Developmental Pediatrics
208,fre,Psychiatrie de l’enfant et de l’adolescent
208,eng,Child & Adolescent Psychiatry
209,fre,Psychiatrie légale
209,eng,Forensic Psychiatry
210,fre,Radiologie interventionnelle
210,eng,Interventional Radialogy
211,fre,Radio-oncologie
211,eng,Radiation Oncology
212,fre,Sciences cliniques
212,eng,Clinical Sciences
213,fre,Santé buccale
213,eng,Oral Health
214,fre,Traumatologie
214,eng,Traumatology
215,fre,Stomatologie
215,eng,Stomatology
216,fre,Théologie
216,eng,Theology
217,fre,Physique médicale
217,eng,Medical Physics
218,fre,Toxicologie
218,eng,Toxicology
219,fre,Anatomie
219,eng,Anatomy
220,fre,Anthropologie biologique
220,eng,Biological anthropology
221,fre,Cythopathologie
221,eng,Cytopathology
222,fre,Ethnolinguistique
222,eng,Ethnolinguistics
223,fre,Génomique
223,eng,Genomics
224,fre,Médecine communautaire
224,eng,Community medicine
225,fre,Traductologie
225,eng,Translatology
